1678199374170	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374170	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374271	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374271	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374371	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374371	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374471	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374471	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374571	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374571	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374672	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374672	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374772	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374772	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374872	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374872	geckodriver::marionette	TRACE	Retrying in 100ms
1678199374973	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199374973	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375073	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375073	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375173	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375173	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375274	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375274	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375374	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375374	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375474	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375474	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375574	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375574	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375674	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375674	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375774	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375775	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375875	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375875	geckodriver::marionette	TRACE	Retrying in 100ms
1678199375975	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199375975	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376075	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376075	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376175	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376175	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376276	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376276	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376376	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376376	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376476	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376476	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376576	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376576	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376677	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376677	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376777	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376777	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376877	geckodriver::browser	TRACE	Failed to open /tmp/rust_mozprofileKAqwBw/MarionetteActivePort
1678199376877	geckodriver::marionette	TRACE	Retrying in 100ms
1678199376977	geckodriver::browser	DEBUG	Browser process stopped: exit status: 1
1678199376978	webdriver::server	DEBUG	<- 500 Internal Server Error {"value":{"error":"unknown error","message":"Process unexpectedly closed with status 1","stacktrace":""}}
